p,q,AIC,BIC,RMSE,MAPE,R2
3,2,188756.44320600934,188801.34644286227,606.326372301395,0.21821554899946408,-0.6040535609463871
3,3,188716.91107555723,188769.2976527174,612.4183541076848,0.22062952663223134,-0.6364485096124355
2,3,188720.84690535045,188765.74968577342,614.6178593430535,0.22139759907533807,-0.6482242528942685
2,2,188767.43003460183,188804.84939864595,639.3503282066691,0.23150668731975765,-0.7835436140435434
3,1,188878.93338083517,188916.3527448793,643.5885271204356,0.23324734105697548,-0.8072679050894265
1,3,188954.80923460462,188992.22821829043,897.6414347083219,0.35809985844997744,-2.5156993716859772
1,2,189712.9296852506,189742.86517648588,1750.6728795879762,0.8536032955782317,-12.372603160591394
2,1,191134.04372196668,191163.97951746546,1926.9556902590487,0.9838921914775594,-15.201282900443868
1,1,191170.56286958416,191193.01471620824,1928.3817465259324,0.9847707335487573,-15.225271506139922
